Composite_signature,M_abscessus_DCCs,M_abscessus_environmental,M_tuberculosis_lineage1,M_tuberculosis_lineage2,M_tuberculosis_lineage3,M_tuberculosis_lineage4,M_tuberculosis_lineage5,M_tuberculosis_lineage6,M_tuberculosis_lineage7,M_tuberculosis_orygis,M_tuberculosis_caprae,M_tuberculosis_bovis,M_canettii,M_leprae,M_avium,M_intracellulare,M_chimaera,M_kansasii_non_MKMC,M_kansasii_MKMC,P_aeruginosa_ST17,P_aeruginosa_ST111,P_aeruginosa_ST146,P_aeruginosa_ST175,P_aeruginosa_ST253,B_cenocepacia_ECs,B_pseudomallei_group1,B_pseudomallei_group2,B_pseudomallei_group3,B_pseudomallei_group4,B_pseudomallei_group5,S_pneumoniae_GPSC1,S_pneumoniae_GPSC2,S_pneumoniae_GPSC3,S_pneumoniae_GPSC6,S_pneumoniae_GPSC54,S_agalactiae_CC1,S_agalactiae_CC10,S_agalactiae_CC17,S_agalactiae_CC19,S_agalactiae_CC23,S_equi,S_pyogenes_phylogroup0,S_pyogenes_phylogroup1,S_pyogenes_phylogroup2,S_pyogenes_phylogroup3,S_aureus_ST22,S_aureus_ST239,S_aureus_ST772,S_aureus_CC398,S_epidermidis_groupA,S_epidermidis_groupB,S_epidermidis_groupC,S_haemolyticus,S_typhimurium,E_faecalis_pp2,E_faecalis_pp6,E_faecalis_pp7,C_jejuni_cluster2,C_jejuni_cluster5,C_jejuni_cluster6,C_jejuni_cluster7,C_jejuni_cluster8,K_pneumoniae_ST11,K_pneumoniae_ST23,K_pneumoniae_ST101,K_pneumoniae_ST147,K_pneumoniae_ST258_512,N_gonorrhoea,N_meningitidis_cluster1,N_meningitidis_cluster2,N_meningitidis_urethritis,E_coli_lineage11,E_coli_lineage12,E_coli_lineage14,E_coli_lineage34,S_sonnei_lineage1,S_sonnei_lineage2,S_sonnei_lineage3,S_flexneri_PG3
Composite_SBS1,0.13522894139634228,0.2383548412074507,0.029325119568212165,0.14294727182350017,0.04341076356945722,0.11402764783547702,0.034421859380206594,0,0.017564633905664102,0.20311667554608417,0.20413901698346643,0.13856617058729398,0.1671042218844603,0.038313281158743134,0.6925788999407244,0.7107348069298864,0.20561235134571249,0.30318867725027565,0.04271003978469459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS2,0.09504739020157522,0.5650636705692751,0.09095661634322612,0.031717202615378734,0.08489535418583256,0.026554862853795238,0.07064311896034656,0.10668316831683168,0,0.23921150772509323,0.07726914857721291,0.04402304368698992,0.5672222989862955,0,0.10539921948077312,0.13351870960734263,0.2537033173377843,0.34089089618295243,0.3080973554879476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS3,0.25203577626485113,0.08990785714379457,0.8273484468495453,0.5290597636982373,0.7002069917203312,0.666153698182168,0.7711429523492169,0.809983498349835,0.5748963883955003,0.2052477357485349,0.1647733663254977,0.2053448551768283,0.018151214058711954,0.8264221469454504,0.08924918710190265,0.02750013577363819,0.04433548925516378,0.10161170943914928,0.186285981745846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS4,0.2565745561340275,0.08807182444430153,0.1726515531504546,0.4709402363017627,0.2997930082796688,0.3338463018178321,0.22885704765078307,0.190016501650165,0.4251036116044997,0.7947522642514651,0.8352266336745023,0.7946551448231717,0.017661319700033914,0.13526457189580657,0.07482945415049151,0.014181284961711834,0.0816816190277488,0.024077458725435402,0.0890475076058975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS5,0.26111333600320386,0.018601806635178072,0.0733657833572352,0.2751883149160708,0.2170825666973321,0.22700604195266116,0.16251249583472177,0,0.47977106769291494,0.08564198188598827,0.04836351366550444,0.02978076492238758,0.2298609453704983,0,0.03794323932610833,0.11406506272742084,0.41466722303359066,0.23023125840218722,0.37385911537561434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17580161111988626,0.5315179936264477,1.0,0.5381412391738841,0,1.0,0.6233875196643943,0.7452404093533818
Composite_SBS7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8241983888801138,0.46848200637355236,0,0.46185876082611593,1.0,0,0.3766124803356057,0.25475959064661824
Composite_SBS8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7081150240280687,0.09720008174943798,0,0,0,0,0,0,0,0,0,0
Composite_SBS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21395606505385248,0,0,1.0,0,0,0,0,0,0,0,0
Composite_SBS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07792891091807887,0.902799918250562,0,0,0,0,0,0,0,0,0,0
